# Mega Man 8 (SLUS-00453) — hand-curated function annotations.
# Format: 0xADDRESS, note   (one per line; lines starting with # are ignored)
# --- BEGIN auto-derived (tools/analyze_symbols.py) ---
0x80136394, DebugGpuCount [guessed] — debug GPU primitive counter readout; prints "GPU:%3d\n"
0x801363AC, DebugObjCount [guessed] — debug object counter readout; prints "OBJ:%3d\n"
0x801364D8, DebugActorRoutines [guessed] — debug view of an actor's behaviour flag + routine indices; prints "beflag:%4x\t"
0x8013658C, DebugActorPosition [guessed] — debug view of an actor's set-table and X/Y position; prints "settbl:%8x\n"
0x801365D8, DebugActorVelocity [guessed] — debug view of an actor's speed/gravity fields; prints "speedx:%8x"
0x80136728, DebugActorPointers [guessed] — debug view of an actor's script/hit pointers; prints "scrptr:%8x"
0x801367C4, DebugActorDamage [guessed] — debug view of an actor's damage fields (dmg_id/str/muteki=invincibility/life); prints "dmg_id:%4x\t"
0x801368F4, DebugSoundTest [guessed] — debug sound-test screen; prints "SOUND TEST\n"
0x80136AA0, refs "SE NUM %xh EDT %xh SUB %xh\n"; "MUSIC NUM %xh\n"
0x80137594, 6 GTE ops
0x801383F8, 6 GTE ops
0x80138770, 1 GTE ops
0x80138D7C, 5 GTE ops
0x80138EC4, 1 GTE ops
0x801390E8, 1 GTE ops
0x801393F8, 3 GTE ops
0x80139514, 3 GTE ops
0x801395A4, 1 GTE ops
0x80139C60, 2 GTE ops
0x8013AC34, classified DATA (string literals) rather than code
0x8013DDB0, 1 GTE ops
0x80140004, 1 GTE ops
0x801412A8, 1 GTE ops
0x80142A2C, 17 GTE ops
0x80147A78, 2 GTE ops
0x8014B674, 3 GTE ops
0x801505B8, 1 GTE ops
0x8015103C, 3 GTE ops
0x80151640, 1 GTE ops
0x80151700, 1 GTE ops
0x80151B04, 1 GTE ops
0x80151E08, 4 GTE ops
0x80152784, 1 GTE ops
